patch_id,y_start,x_start,category,bubble_ratio,ignore_ratio,split
0,128,512,positive,0.3475647,0.0,train
1,896,256,positive,0.11361694,0.0,train
2,128,128,negative,0.0,0.0,train
3,640,768,positive,0.22866821,0.0,train
4,128,1408,positive,0.3446808,0.0,train
5,768,1280,positive,0.21989441,0.0,val
6,768,128,weak,0.0047454834,0.0,train
7,384,768,positive,0.16079712,0.0,train
8,256,1792,positive,0.4701233,0.0,train
9,256,512,positive,0.47935486,0.0,train
10,384,256,positive,0.07670593,0.0,train
11,768,2048,positive,0.05734253,0.0,val
12,896,384,positive,0.30592346,0.0,train
13,512,896,positive,0.15385437,0.0,train
14,768,512,positive,0.18711853,0.0,train
15,384,512,positive,0.41685486,0.0,train
16,256,384,positive,0.26257324,0.0,train
17,640,640,positive,0.25460815,0.0,train
18,896,128,weak,0.0107421875,0.0,train
19,384,0,negative,0.0,0.0,train
20,0,1152,positive,0.123306274,0.0,train
21,256,1024,positive,0.2873993,0.0,train
22,0,128,negative,0.0,0.0,train
23,256,0,negative,0.0,0.0,train
24,256,768,positive,0.21704102,0.0,train
25,128,1024,positive,0.18322754,0.0,train
26,128,1280,positive,0.32917786,0.0,train
27,0,2048,positive,0.20423889,0.0,train
28,896,1536,positive,0.36991882,0.0,val
29,768,1792,positive,0.27522278,0.0,val
30,128,384,positive,0.22079468,0.0,train
31,256,1664,positive,0.6168976,0.0,train
32,768,768,positive,0.11282349,0.0,train
33,0,1920,weak,0.041503906,0.0,train
34,896,0,negative,0.0,0.0,train
35,384,896,positive,0.19360352,0.0,train
36,0,384,positive,0.06452942,0.0,train
37,896,640,positive,0.07885742,0.0,train
38,0,1024,weak,0.04121399,0.0,train
39,128,2048,positive,0.3065796,0.0,train
40,896,1280,positive,0.100982666,0.0,val
41,128,1920,positive,0.19702148,0.0,train
42,768,1536,positive,0.35629272,0.0,val
43,128,896,positive,0.072784424,0.0,train
44,256,128,negative,0.0,0.0,train
45,256,2048,positive,0.21508789,0.0,train
46,128,1792,positive,0.38885498,0.0,train
47,128,256,weak,0.033340454,0.0,train
48,512,128,weak,0.0012359619,0.0,train
49,640,1792,positive,0.41238403,0.0,val
50,512,384,positive,0.19248962,0.0,train
51,256,896,positive,0.14820862,0.0,train
52,640,128,weak,0.0010223389,0.0,train
53,896,896,positive,0.19242859,0.0,train
54,0,1792,positive,0.08728027,0.0,train
55,256,1280,positive,0.22999573,0.0,train
56,512,0,negative,0.0,0.0,train
57,256,256,positive,0.08647156,0.0,train
58,640,0,negative,0.0,0.0,train
59,256,640,positive,0.49612427,0.0,train
60,768,1920,positive,0.12936401,0.0,val
61,896,512,positive,0.26831055,0.0,train
62,768,1408,positive,0.2739563,0.0,val
63,640,384,positive,0.17565918,0.0,train
64,0,1280,positive,0.2026062,0.0,train
65,896,1408,positive,0.140625,0.0,val
66,768,0,negative,0.0,0.0,train
67,512,640,positive,0.42234802,0.0,train
68,256,1536,positive,0.38345337,0.0,train
69,256,1408,positive,0.27044678,0.0,train
70,640,1408,positive,0.3937683,0.0,val
71,0,1536,positive,0.3050232,0.0,train
72,384,640,positive,0.46174622,0.0,train
73,0,896,weak,0.043548584,0.0,train
74,640,1920,positive,0.2644043,0.0,val
75,896,2048,positive,0.06315613,0.0,val
76,640,256,positive,0.081970215,0.0,train
77,0,1664,positive,0.2117157,0.0,train
78,128,640,positive,0.38719177,0.0,train
79,640,2048,positive,0.057022095,0.0,val
80,0,768,positive,0.12678528,0.0,train
81,128,1152,positive,0.2807312,0.0,train
82,256,1920,positive,0.21266174,0.0,train
83,0,256,weak,0.007171631,0.0,train
84,896,1664,positive,0.4678955,0.0,val
85,0,1408,positive,0.2707367,0.0,train
86,768,1664,positive,0.35894775,0.0,val
87,0,640,positive,0.158432,0.0,train
88,896,1920,positive,0.0710907,0.0,val
89,640,512,positive,0.23519897,0.0,train
90,512,768,positive,0.2190094,0.0,train
91,640,1536,positive,0.2979889,0.0,val
92,512,256,positive,0.08520508,0.0,train
93,640,1664,positive,0.28697205,0.0,val
94,768,640,positive,0.071136475,0.0,train
95,128,768,positive,0.24761963,0.0,train
96,0,0,negative,0.0,0.0,train
97,896,1792,positive,0.28230286,0.0,val
98,640,1280,positive,0.2844391,0.0,val
99,384,384,positive,0.16671753,0.0,train
100,768,256,positive,0.061203003,0.0,train
101,128,0,negative,0.0,0.0,train
102,512,512,positive,0.35987854,0.0,train
103,384,128,negative,0.00021362305,0.0,train
104,128,1664,positive,0.6094208,0.0,train
105,640,896,positive,0.18980408,0.0,train
106,896,768,weak,0.031326294,0.0,train
107,256,1152,positive,0.26211548,0.0,train
108,128,1536,positive,0.47375488,0.0,train
109,768,384,positive,0.19812012,0.0,train
110,768,896,positive,0.22741699,0.0,train
111,0,512,positive,0.11929321,0.0,train
