patch_id,y_start,x_start,category,bubble_ratio,ignore_ratio,split
0,384,1792,positive,0.31819153,0.0,train
1,512,1280,positive,0.3416443,0.0,train
2,0,1152,positive,0.123306274,0.0,train
3,640,1408,positive,0.3937683,0.0,train
4,256,384,positive,0.26257324,0.0,train
5,768,1664,positive,0.35894775,0.0,train
6,896,1920,positive,0.0710907,0.0,train
7,0,2048,positive,0.20423889,0.0,train
8,384,1280,positive,0.27192688,0.0,train
9,640,0,negative,0.0,0.0,val
10,128,1280,positive,0.32917786,0.0,train
11,768,1408,positive,0.2739563,0.0,train
12,128,384,positive,0.22079468,0.0,train
13,256,1664,positive,0.6168976,0.0,train
14,640,640,positive,0.25460815,0.0,val
15,640,896,positive,0.18980408,0.0,val
16,896,0,negative,0.0,0.0,val
17,0,384,positive,0.06452942,0.0,train
18,640,512,positive,0.23519897,0.0,val
19,768,128,weak,0.0047454834,0.0,val
20,768,1792,positive,0.27522278,0.0,train
21,384,1920,positive,0.10041809,0.0,train
22,256,1024,positive,0.2873993,0.0,train
23,896,1536,positive,0.36991882,0.0,train
24,384,1536,positive,0.24768066,0.0,train
25,128,512,positive,0.3475647,0.0,train
26,128,896,positive,0.072784424,0.0,train
27,896,1664,positive,0.4678955,0.0,train
28,128,256,weak,0.033340454,0.0,train
29,768,896,positive,0.22741699,0.0,val
30,128,2048,positive,0.3065796,0.0,train
31,0,256,weak,0.007171631,0.0,train
32,128,1792,positive,0.38885498,0.0,train
33,768,768,positive,0.11282349,0.0,val
34,640,1536,positive,0.2979889,0.0,train
35,0,128,negative,0.0,0.0,train
36,256,896,positive,0.14820862,0.0,train
37,512,2048,positive,0.13708496,0.0,train
38,512,1792,positive,0.47143555,0.0,train
39,0,1792,positive,0.08728027,0.0,train
40,256,1280,positive,0.22999573,0.0,train
41,256,256,positive,0.08647156,0.0,train
42,896,1408,positive,0.140625,0.0,train
43,256,640,positive,0.49612427,0.0,train
44,896,256,positive,0.11361694,0.0,val
45,256,0,negative,0.0,0.0,train
46,0,1280,positive,0.2026062,0.0,train
47,640,768,positive,0.22866821,0.0,val
48,896,1280,positive,0.100982666,0.0,train
49,256,2048,positive,0.21508789,0.0,train
50,512,1536,positive,0.2561493,0.0,train
51,256,1536,positive,0.38345337,0.0,train
52,128,1024,positive,0.18322754,0.0,train
53,768,1920,positive,0.12936401,0.0,train
54,256,1408,positive,0.27044678,0.0,train
55,640,2048,positive,0.057022095,0.0,train
56,0,1536,positive,0.3050232,0.0,train
57,384,1664,positive,0.36428833,0.0,train
58,896,1792,positive,0.28230286,0.0,train
59,768,2048,positive,0.05734253,0.0,train
60,128,0,negative,0.0,0.0,train
61,256,512,positive,0.47935486,0.0,train
62,128,1408,positive,0.3446808,0.0,train
63,768,640,positive,0.071136475,0.0,val
64,896,512,positive,0.26831055,0.0,val
65,0,1664,positive,0.2117157,0.0,train
66,128,640,positive,0.38719177,0.0,train
67,256,128,negative,0.0,0.0,train
68,0,768,positive,0.12678528,0.0,train
69,128,1152,positive,0.2807312,0.0,train
70,256,1920,positive,0.21266174,0.0,train
71,768,256,positive,0.061203003,0.0,val
72,0,1408,positive,0.2707367,0.0,train
73,0,1024,weak,0.04121399,0.0,train
74,896,896,positive,0.19242859,0.0,val
75,768,512,positive,0.18711853,0.0,val
76,640,1280,positive,0.2844391,0.0,train
77,512,1664,positive,0.34843445,0.0,train
78,128,128,negative,0.0,0.0,train
79,384,2048,positive,0.19290161,0.0,train
80,0,0,negative,0.0,0.0,train
81,768,1280,positive,0.21989441,0.0,train
82,128,768,positive,0.24761963,0.0,train
83,0,1920,weak,0.041503906,0.0,train
84,768,384,positive,0.19812012,0.0,val
85,384,1408,positive,0.26863098,0.0,train
86,640,1792,positive,0.41238403,0.0,train
87,512,1408,positive,0.33865356,0.0,train
88,896,640,positive,0.07885742,0.0,val
89,640,1664,positive,0.28697205,0.0,train
90,0,896,weak,0.043548584,0.0,train
91,256,1152,positive,0.26211548,0.0,train
92,128,1536,positive,0.47375488,0.0,train
93,640,1920,positive,0.2644043,0.0,train
94,768,1536,positive,0.35629272,0.0,train
95,896,128,weak,0.0107421875,0.0,val
96,256,1792,positive,0.4701233,0.0,train
97,256,768,positive,0.21704102,0.0,train
98,896,768,weak,0.031326294,0.0,val
99,0,512,positive,0.11929321,0.0,train
100,512,1920,positive,0.26741028,0.0,train
101,128,1664,positive,0.6094208,0.0,train
102,0,640,positive,0.158432,0.0,train
103,128,1920,positive,0.19702148,0.0,train
104,640,128,weak,0.0010223389,0.0,val
105,896,384,positive,0.30592346,0.0,val
106,640,384,positive,0.17565918,0.0,val
107,768,0,negative,0.0,0.0,val
108,896,2048,positive,0.06315613,0.0,train
109,640,256,positive,0.081970215,0.0,val
